Modules,Number of genes,Genes
M21,137,"[""IGKC"", ""IGLV2-14"", ""IGHG2"", ""HBB"", ""IGHV3-21"", ""IGHV1-46"", ""IGHV3-11"", ""HBA2"", ""HBD"", ""HBA1"", ""IGHV4-55"", ""IGKV2-29"", ""TRBV11-2"", ""TRBV6-5"", ""TRBV3-1"", ""IGLV2-5"", ""IGKV1-12"", ""IGLV9-49"", ""IGHV3-69-1"", ""TRBV25-1"", ""IGKV2-26"", ""TRBV2"", ""IGLV7-43"", ""ALAS2"", ""AHSP"", ""TRBV10-1"", ""TRBV7-7"", ""TRDV1"", ""CPA3"", ""HBM"", ""IGHV3-73"", ""IGKV2D-24"", ""SPINK2"", ""TRAV6"", ""MS4A2"", ""TRAV8-6"", ""IGLV1-50"", ""TPSB2"", ""IGLV1-41"", ""DEFA3"", ""TRAV1-2"", ""TRAV41"", ""AC011139.1"", ""IGHV1OR16-1"", ""AL157895.1"", ""GPRC5D"", ""LINC02446"", ""HPGDS"", ""CD34"", ""IGLV5-52"", ""CD8B"", ""FOXP3"", ""SHD"", ""HES4"", ""CENPA"", ""GP9"", ""GATA1"", ""HIST1H2AG"", ""CDCA5"", ""BUB1"", ""JSRP1"", ""TRBV12-2"", ""HIST1H2BJ"", ""PYCR1"", ""AKAP12"", ""RHAG"", ""PNMT"", ""GNG11"", ""KRT1"", ""IGLVI-20"", ""TREML1"", ""TSPAN13"", ""ENAM"", ""MMP1"", ""IGKV3D-7"", ""AL606807.1"", ""SPATS2"", ""IGLV2-34"", ""EPB42"", ""AC004585.1"", ""NCR2"", ""CEP128"", ""NMU"", ""LINC02576"", ""SKA1"", ""AC004540.2"", ""SKA3"", ""RAMP1"", ""LIMS2"", ""FCRL2"", ""HLA-DOB"", ""DYTN"", ""ACTN2"", ""FA2H"", ""IGKV2OR22-4"", ""TMEM158"", ""HBG2"", ""TRGV1"", ""GYPB"", ""ACOD1"", ""PPP1R2C"", ""AC017002.3"", ""STAG3"", ""PRKAR2B"", ""PF4V1"", ""ANGPT1"", ""ERRFI1"", ""GSX2"", ""HEY1"", ""IL17F"", ""CDH7"", ""PRKAG3"", ""TMCC2"", ""UNC5C"", ""EMID1"", ""MYCT1"", ""AQP6"", ""ANGPTL4"", ""EIF4E1B"", ""KRTDAP"", ""AL360181.3"", ""GCSAML"", ""BPIFB1"", ""GATA3"", ""AL391415.1"", ""TUSC3"", ""SUSD5"", ""CRYM"", ""PKIG"", ""CYP39A1"", ""ARPP21"", ""LINC02426"", ""AC007040.1"", ""HIST1H3H"", ""CRH"", ""AP002336.3"", ""C1QTNF2""]"
M22,100,"[""IGKV1-39"", ""IGHV3-7"", ""AC233755.2"", ""IGHV3-48"", ""IGLVI-70"", ""IGKV1D-8"", ""AC233755.1"", ""UBE2C"", ""IGKV1-17"", ""IGHV3-74"", ""TRBV30"", ""IGHV1-24"", ""TRBV9"", ""IGLV5-45"", ""TRBV15"", ""MTRNR2L8"", ""IGHV3-71"", ""IGHV3-64D"", ""AVP"", ""TRAV12-3"", ""TRAV30"", ""TRBV11-3"", ""IGLV2-18"", ""IGLL1"", ""IGLC7"", ""TRAV38-1"", ""TRAV10"", ""TRBV6-4"", ""TRAV5"", ""TRAV12-1"", ""CLC"", ""IGKV2D-26"", ""TRBV21-1"", ""VSIG4"", ""IGKV1-13"", ""PCLAF"", ""CAV1"", ""STXBP6"", ""AC002454.1"", ""EGFL7"", ""TMIGD3"", ""CD24"", ""SELENOP"", ""PGLYRP1"", ""TCN1"", ""CD160"", ""IL13"", ""TRBV5-7"", ""COBLL1"", ""ESCO2"", ""ZBTB32"", ""MCM2"", ""CD177"", ""DTL"", ""HPDL"", ""NPIPB12"", ""KIF20A"", ""TRAV9-1"", ""CCDC34"", ""PDCD1"", ""SYVN1"", ""HOXA7"", ""EGR2"", ""CCDC169"", ""LCN2"", ""CAMP"", ""HIST1H4B"", ""TFF3"", ""H2AFB1"", ""APOC2"", ""DOK5"", ""CST7"", ""CRISP3"", ""IL17RB"", ""CX3CL1"", ""AC092484.1"", ""TNFRSF12A"", ""ZDHHC19"", ""FAM9C"", ""SLC32A1"", ""CEACAM8"", ""LRRN3"", ""EDIL3"", ""LINC01705"", ""LYPD6B"", ""LINC00642"", ""EFNB3"", ""TNFRSF13C"", ""PRKG1"", ""SLC1A2"", ""CCNO"", ""C5orf67"", ""CCR6"", ""SLC6A3"", ""AC005304.1"", ""PAX5"", ""ASIP"", ""FAM69B"", ""AL109936.6"", ""SLC25A37""]"
M23,41,"[""IGHA2"", ""IGHV3-30"", ""IGKV3-11"", ""IGHV5-10-1"", ""IGHV4-61"", ""MZB1"", ""IGLV6-57"", ""TRBV6-6"", ""MS4A1"", ""AC141272.1"", ""LAG3"", ""TRAV22"", ""CENPF"", ""IGLV1-36"", ""TRAV25"", ""ZNF683"", ""FTL"", ""IGHV3-35"", ""CHPF"", ""MCM4"", ""HIST1H2BF"", ""HIST1H1D"", ""HIST1H1A"", ""TIGIT"", ""KLRC2"", ""PASK"", ""CCDC167"", ""KNL1"", ""PIF1"", ""CYP46A1"", ""DKK3"", ""FCER1G"", ""DMRT2"", ""CD7"", ""S100A11"", ""TRBV5-3"", ""SSTR2"", ""TNFRSF9"", ""EIF4A3"", ""HIST1H3J"", ""TMIGD2""]"
M24,46,"[""IGHG1"", ""IGHV4-39"", ""JCHAIN"", ""IGHV4-59"", ""IGLL5"", ""CXCL10"", ""IGLV1-47"", ""IGKV1-9"", ""TRBV10-3"", ""CCL8"", ""TRDV2"", ""IGKV1D-13"", ""CCL2"", ""CXCL11"", ""CTSL"", ""CCL7"", ""IGKV6-21"", ""TRAV36DV7"", ""TIMP1"", ""RGS1"", ""KLRC1"", ""KIR2DL1"", ""CAVIN1"", ""SLC25A4"", ""MCM6"", ""CTGF"", ""EMP1"", ""SCGB3A1"", ""AC015912.3"", ""IL4I1"", ""DTYMK"", ""DHRS9"", ""LAPTM4B"", ""HID1"", ""PLPP2"", ""CLEC3B"", ""ICAM1"", ""SARSCOV2"", ""HS3ST2"", ""SNAPC1"", ""RHOC"", ""GAB1"", ""PRSS3"", ""KITLG"", ""PTGER3"", ""DENND5B""]"
M25,111,"[""IGKV3-20"", ""IGHG3"", ""IGKV3D-20"", ""HIST1H4C"", ""IGKV1-6"", ""IGLV3-10"", ""HSP90B1"", ""IGKV2D-30"", ""IGKV1D-12"", ""IGKV5-2"", ""IGHV3OR16-13"", ""CLEC10A"", ""CD38"", ""PTTG1"", ""IGLV5-48"", ""TK1"", ""PDIA4"", ""BIRC5"", ""CCNB2"", ""SRM"", ""TRDC"", ""CLEC4C"", ""TNFRSF13B"", ""HMMR"", ""TUBB1"", ""CDKN3"", ""MPO"", ""GGH"", ""CDT1"", ""DUT"", ""RASD1"", ""TRGV8"", ""FRZB"", ""VPREB3"", ""EGR1"", ""SLC4A1"", ""DNAJB11"", ""NLRP7"", ""CDCA7"", ""SPC25"", ""LRRC59"", ""PRTN3"", ""CPNE5"", ""DEPDC1"", ""SEL1L3"", ""SPARC"", ""HDLBP"", ""CAVIN3"", ""HMGN2"", ""TUBG1"", ""ACOT7"", ""ORC6"", ""GPBAR1"", ""FKBP2"", ""F13A1"", ""CMC1"", ""MTHFD2"", ""ATAD5"", ""IL2RB"", ""NPW"", ""CLPTM1L"", ""IFI27L1"", ""NCR3"", ""RBP4"", ""SPTSSB"", ""UTS2B"", ""E2F1"", ""BOLA3"", ""DDOST"", ""PLS3"", ""MYO1E"", ""PAGE5"", ""AL390729.1"", ""CDK4"", ""PMAIP1"", ""TTK"", ""GM2A"", ""IGLV4-3"", ""DPEP1"", ""CTAG2"", ""EFCAB1"", ""HOXC10"", ""HERPUD1"", ""KCNH2"", ""OLAH"", ""AC024267.1"", ""AL031587.2"", ""CTSK"", ""FCGBP"", ""FFAR3"", ""IGKV1OR2-1"", ""MSLNL"", ""LMO1"", ""AC016910.1"", ""ABCA13"", ""RNASE3"", ""PDXP"", ""RGL1"", ""NOMO2"", ""LYVE1"", ""NPIPA2"", ""BRI3BP"", ""SMC2-AS1"", ""NOP16"", ""AL159169.3"", ""ARF4"", ""COL19A1"", ""SCAMP5"", ""SLC24A3"", ""GPM6B"", ""TMEM56-RWDD3""]"
M26,75,"[""TRBV12-3"", ""CA1"", ""TRBV6-2"", ""STMN1"", ""TRAV19"", ""TRAV12-2"", ""CD1C"", ""TRAV26-2"", ""PLD4"", ""TRAV26-1"", ""TRAV8-2"", ""IFNG"", ""HRASLS2"", ""CENPM"", ""PHGDH"", ""MCM7"", ""SPON2"", ""CKS2"", ""METTL7B"", ""GZMA"", ""GMNN"", ""PHLDA1"", ""GEM"", ""PHLDA2"", ""CD27"", ""IL24"", ""IL32"", ""KLRD1"", ""IGHV3-72"", ""ID1"", ""ATF3"", ""HELLS"", ""CD1E"", ""HIST1H2BB"", ""LAIR2"", ""MCM3"", ""DEPP1"", ""PTMS"", ""CTLA4"", ""C19orf48"", ""MAL"", ""AC093390.2"", ""AL355075.4"", ""PPM1J"", ""TCF7"", ""KCNN3"", ""IL21"", ""SPATA48"", ""TTC39C-AS1"", ""BACE2"", ""CD28"", ""NOV"", ""S1PR5"", ""CD2"", ""PILRA"", ""PLVAP"", ""CEMIP"", ""KRT17"", ""MPP2"", ""PDGFRA"", ""TP63"", ""TCEAL9"", ""ITM2A"", ""XIST"", ""TRAC"", ""CNR1"", ""AC092118.1"", ""CD207"", ""AL022316.1"", ""RAB38"", ""TNFSF18"", ""RORC"", ""HOXB2"", ""LIME1"", ""MB""]"
M27,74,"[""IGKV3-15"", ""IGKV1D-39"", ""IGHV3-33"", ""IGKV2-30"", ""IGKV2-24"", ""IGHV1-3"", ""TRBV7-3"", ""TRBV4-1"", ""IGKV3D-15"", ""TRBV14"", ""TRBV20-1"", ""IGLV4-69"", ""TPM2"", ""TRAV9-2"", ""TRAV27"", ""TRAV1-1"", ""CDKN1C"", ""VMO1"", ""ACY3"", ""ASPM"", ""IGHV4-80"", ""IGHGP"", ""CENPE"", ""CCR9"", ""AC012236.1"", ""MSLN"", ""MEG3"", ""TRBV16"", ""AC245014.3"", ""PHF19"", ""HIST1H4H"", ""KIR3DL1"", ""CYP27A1"", ""AC007952.4"", ""CKB"", ""PERP"", ""KIF14"", ""PPP1R17"", ""WDR34"", ""TRIP13"", ""KIF2C"", ""SNRNP25"", ""ATAD2"", ""ZNF385D"", ""TSHZ2"", ""RASIP1"", ""AJ009632.2"", ""SLC27A2"", ""LINC00887"", ""TSPO2"", ""TAS1R3"", ""CENPN"", ""MIXL1"", ""RECK"", ""TFPI2"", ""CEACAM6"", ""CLEC4F"", ""FIGLA"", ""AC106881.1"", ""ITGA1"", ""WDR74"", ""FTCD"", ""DEFA1B"", ""CD247"", ""FIBCD1"", ""CABP4"", ""CCNF"", ""DEFA1"", ""GSTM1"", ""SLC1A4"", ""TMEM214"", ""CHRNA1"", ""ZBTB7C"", ""CASC10""]"
M3,64,"[""IGHV2-5"", ""TRBV5-4"", ""TRBV27"", ""IGKV1D-16"", ""XCL2"", ""GINS2"", ""SERPINF1"", ""GPR25"", ""IGKV2-4"", ""PPP1R14A"", ""HPGD"", ""CDCA3"", ""UBE2T"", ""TM4SF1"", ""EDN1"", ""MAD2L1"", ""KIR2DL3"", ""IGHV1-58"", ""CDCA2"", ""FXYD2"", ""HOPX"", ""KLK1"", ""TRGV7"", ""DNAJC9"", ""KIF15"", ""AC106882.1"", ""KIF20B"", ""FOXM1"", ""KLF1"", ""OIP5"", ""AL138963.3"", ""PROM1"", ""LINC02345"", ""LINC02362"", ""SRGAP2-AS1"", ""CLDN10"", ""CD40LG"", ""ZNF503"", ""FCRL6"", ""IGHV1-45"", ""S100A16"", ""CBLN3"", ""PYDC1"", ""PTPRCAP"", ""LCN6"", ""AC084871.2"", ""ZCCHC12"", ""AF127577.3"", ""ERG"", ""AC021594.1"", ""SPAG5"", ""PTCH2"", ""AC026310.2"", ""AC083837.1"", ""AC090948.2"", ""LHX1"", ""TOX2"", ""CPA5"", ""TMEM89"", ""PHACTR3"", ""POC1B-GALNT4"", ""MELK"", ""CLIC4"", ""AARS""]"
M4,104,"[""TXNDC5"", ""IGHV3-66"", ""IGHV3-53"", ""TRBV5-6"", ""TRBV6-1"", ""TRBV18"", ""TRBV7-6"", ""TYMS"", ""TRAV13-1"", ""TUBA1B"", ""HLA-DQA1"", ""TRGV9"", ""UCHL1"", ""FAM30A"", ""HLA-DRA"", ""FCGR3A"", ""HLA-DPA1"", ""ABCB9"", ""TRAV8-3"", ""CD74"", ""TNFRSF18"", ""HLA-DQB1"", ""CALR"", ""HLA-DPB1"", ""ATF5"", ""MS4A7"", ""LGALS2"", ""HLA-DRB1"", ""FCER2"", ""HAMP"", ""HLA-DRB5"", ""CCL17"", ""PAICS"", ""RAN"", ""CTHRC1"", ""MMP19"", ""SLAMF7"", ""INHBA"", ""CCL22"", ""LILRB1"", ""CRIP2"", ""MT1A"", ""OSTC"", ""SGO2"", ""SLC39A8"", ""HMGB1"", ""BRCA1"", ""LILRB4"", ""CCL23"", ""AKR1C3"", ""FANCI"", ""IGFBP4"", ""GLCCI1"", ""PRDX1"", ""CPVL"", ""CX3CR1"", ""HLA-DMB"", ""LILRB2"", ""SELENOS"", ""TYMP"", ""SH2D2A"", ""SLBP"", ""CAMK1"", ""CSF1R"", ""HLA-DMA"", ""CFD"", ""C11orf24"", ""LRRC25"", ""CXCL5"", ""MUCL1"", ""TNIP3"", ""CHI3L1"", ""CD276"", ""VAMP5"", ""PDPN"", ""PSME2"", ""LAP3"", ""CA12"", ""ITGB8"", ""IL36G"", ""AC003102.1"", ""IRF8"", ""GSDME"", ""SDC2"", ""LINC02154"", ""AL031429.1"", ""RASSF6"", ""ABI3"", ""FGL2"", ""MMP14"", ""TGFBI"", ""SEC61G"", ""CFAP73"", ""INCENP"", ""BPIFA1"", ""PAPSS2"", ""SPHK1"", ""CCT2"", ""CD180"", ""TMSB10"", ""NPM1"", ""LAD1"", ""PROCR"", ""BOP1""]"
M5,67,"[""CCL4"", ""CXCL3"", ""CCL4L2"", ""CCL20"", ""CXCL1"", ""IL1B"", ""CCL3"", ""CXCL8"", ""CCL3L1"", ""CXCL2"", ""SERPINB2"", ""C15orf48"", ""IER3"", ""EREG"", ""CDK1"", ""AREG"", ""CSF3"", ""TNFRSF4"", ""CD70"", ""TNF"", ""TNFAIP6"", ""CH25H"", ""CCL5"", ""FTH1"", ""IL6"", ""PTGS2"", ""C11orf96"", ""CCL24"", ""TSC22D1"", ""PTGES"", ""SELENBP1"", ""EBI3"", ""OTUD1"", ""CA2"", ""IL2RA"", ""IL10"", ""EZH2"", ""SOD2"", ""IL7R"", ""CCR7"", ""C2CD4B"", ""CD72"", ""MIR155HG"", ""TRGV5"", ""EGR4"", ""CD40"", ""PRDM1"", ""RBKS"", ""SLAMF1"", ""TRAF4"", ""MIR3945HG"", ""GSTM3"", ""GJB2"", ""ADAMDEC1"", ""GNG4"", ""LAMP3"", ""GK"", ""SLC16A10"", ""RHCG"", ""GAL"", ""DNAAF1"", ""AL031590.1"", ""CCRL2"", ""ETS2"", ""AL353608.3"", ""PDLIM4"", ""DMTN""]"
M6,52,"[""IGLC2"", ""IGHV1-18"", ""TRBV12-4"", ""TRBV28"", ""TRAV14DV4"", ""TRAV8-4"", ""GZMK"", ""MT1X"", ""IGKV7-3"", ""MS4A3"", ""PLPP5"", ""Z93241.1"", ""NUF2"", ""TACSTD2"", ""HIST1H3G"", ""MCM5"", ""MS4A4A"", ""CTSW"", ""NPR3"", ""RANBP1"", ""CSF2"", ""TRGV3"", ""DEPDC1B"", ""RAB13"", ""DRD4"", ""ADGRG1"", ""NPDC1"", ""MCEMP1"", ""IER5L"", ""TCF7L2"", ""BAALC"", ""RNASEH2A"", ""TIMELESS"", ""PSMA3"", ""SSR1"", ""TTN"", ""CXorf21"", ""HIST1H3C"", ""DCSTAMP"", ""LRG1"", ""TSACC"", ""HIST1H2BL"", ""SEMA4A"", ""TMEM246"", ""TCHH"", ""AC103591.3"", ""AL354760.1"", ""MTFR2"", ""AL353622.2"", ""VGF"", ""FP700111.1"", ""NANS""]"
M7,59,"[""IGHV7-4-1"", ""IFI27"", ""APOBEC3A"", ""SERPING1"", ""MT2A"", ""IFIT2"", ""RETN"", ""IFITM3"", ""WARS"", ""ISG15"", ""TMEM176A"", ""TMEM176B"", ""IFIT1"", ""RNASE2"", ""UBE2J1"", ""IFI6"", ""TNFSF10"", ""IFIT3"", ""RRBP1"", ""RSAD2"", ""APOBEC3B"", ""TNNT1"", ""MARCKS"", ""RHOB"", ""LGALS3BP"", ""GBP1"", ""IRF7"", ""CALHM6"", ""DUSP6"", ""MX1"", ""OTOF"", ""TCN2"", ""NEXN"", ""HIST1H1C"", ""SIGLEC1"", ""HIST1H1E"", ""SAMD4A"", ""GMPR"", ""GTSF1"", ""FFAR2"", ""SPATS2L"", ""CCR1"", ""DEFB1"", ""PLAC8"", ""IFI44L"", ""NCF1"", ""ISG20"", ""GBP5"", ""EPSTI1"", ""IFITM1"", ""ZBP1"", ""OAS1"", ""LY6E"", ""GBP4"", ""XAF1"", ""SCIMP"", ""SECTM1"", ""REC8"", ""STAT1""]"
M8,96,"[""IGLV3-19"", ""IGHV4-34"", ""IGLV3-1"", ""C1QB"", ""C1QC"", ""IGLV2-23"", ""MT1G"", ""TRBV5-1"", ""APOC1"", ""APOE"", ""RNASE1"", ""S100B"", ""CCL18"", ""TRAV3"", ""FABP5"", ""LINC01480"", ""SDF2L1"", ""XCL1"", ""TPSAB1"", ""CNRIP1"", ""KLHL14"", ""ZWINT"", ""TRAV40"", ""CLIC3"", ""HMGA1"", ""LGMN"", ""MMP7"", ""SDC1"", ""PSAT1"", ""SMPD3"", ""TREM2"", ""CD163"", ""HYOU1"", ""SRPRB"", ""FAM111B"", ""MS4A6E"", ""LINC01857"", ""FABP4"", ""IGF1"", ""PLA2G7"", ""IFIT1B"", ""MGLL"", ""CTSB"", ""SLAMF8"", ""TIMP3"", ""CCDC80"", ""SLC2A5"", ""PMP22"", ""NR1H3"", ""TMEM37"", ""CADM1"", ""PLTP"", ""ACP5"", ""CXCR6"", ""LPL"", ""MAP1A"", ""ALDH1L2"", ""ATP6V0D2"", ""AK8"", ""MED12L"", ""TMEM97"", ""FABP3"", ""ADTRP"", ""GPNMB"", ""SDS"", ""CCL13"", ""GDF15"", ""PPY"", ""DAB2"", ""CHIT1"", ""PLIN2"", ""HSD11B1"", ""CADM3"", ""CD81"", ""TDO2"", ""CD5L"", ""RAB42"", ""FPR3"", ""CXCL12"", ""AC110609.1"", ""A2M"", ""CYP27B1"", ""LINC00996"", ""SP9"", ""OTOA"", ""XIRP1"", ""TNFRSF21"", ""GSTM5"", ""HTRA4"", ""ZNF462"", ""ERICH3"", ""BARX1"", ""PTGDR"", ""RAB7B"", ""SLAMF9"", ""GNG12""]"
M9,50,"[""IGHA1"", ""IGLC3"", ""IGKV1-5"", ""IGLV2-11"", ""IGLV2-8"", ""IGHV4-28"", ""IGHG4"", ""TRBV11-1"", ""TRBV29-1"", ""IGKV3D-11"", ""IGKV2D-29"", ""PRSS57"", ""IGLV3-16"", ""CCR10"", ""AURKB"", ""PKMYT1"", ""DNASE1L3"", ""TRGV2"", ""ASF1B"", ""KLRB1"", ""SMC2"", ""TMEM106C"", ""CD79B"", ""KLRF1"", ""CEP55"", ""CENPW"", ""CHEK1"", ""PID1"", ""FBXO5"", ""AC084033.3"", ""AC005392.2"", ""MYC"", ""AKR1C1"", ""IMPDH2"", ""ANLN"", ""DEPTOR"", ""AL603756.1"", ""MAGED1"", ""ZDHHC1"", ""TEX28"", ""SOCS2"", ""KCNE5"", ""LIM2"", ""NECAB1"", ""SULT1A2"", ""TCP1"", ""LINC01513"", ""GPAT2"", ""SH2B2"", ""AC011247.2""]"
